profile,seed,damage_pct,score,stars,steps,ticks,terminated,truncated
hard,300497,0.22133867276887872,0.22133867276887872,0,76,755,True,False
medium,300498,0.2766355140186916,0.2766355140186916,0,61,604,True,False
hard,300499,0.18958810068649887,0.18958810068649887,0,58,573,True,False
medium,300500,0.4337227414330218,0.4337227414330218,0,63,623,True,False
hard,300501,0.32700228832951944,0.32700228832951944,0,75,749,True,False
medium,300502,0.6214953271028038,1.6214953271028039,1,68,674,True,False
hard,300503,0.20720823798627003,0.20720823798627003,0,74,740,True,False
medium,300504,0.4024922118380062,0.4024922118380062,0,69,688,True,False
hard,300505,0.12185354691075514,0.12185354691075514,0,63,626,True,False
medium,300506,0.5179906542056075,1.5179906542056076,1,69,681,True,False
hard,300507,0.30143020594965675,0.30143020594965675,0,64,631,True,False
medium,300508,0.6386292834890965,2.6386292834890965,2,66,652,True,False
hard,300509,0.16762013729977115,0.16762013729977115,0,61,608,True,False
medium,300510,0.3748442367601246,0.3748442367601246,0,78,780,True,False
hard,300511,0.18518306636155607,0.18518306636155607,0,63,626,True,False
medium,300512,0.5473520249221184,1.5473520249221184,1,76,755,True,False
hard,300513,0.24302059496567505,0.24302059496567505,0,73,725,True,False
medium,300514,0.4095794392523365,0.4095794392523365,0,66,651,True,False
hard,300515,0.17242562929061786,0.17242562929061786,0,59,588,True,False
medium,300516,0.502803738317757,1.502803738317757,1,64,639,True,False
hard,300517,0.24645308924485126,0.24645308924485126,0,60,596,True,False
medium,300518,0.3397196261682243,0.3397196261682243,0,63,626,True,False
hard,300519,0.22362700228832952,0.22362700228832952,0,61,602,True,False
medium,300520,0.5129283489096573,1.5129283489096572,1,85,845,True,False
hard,300521,0.11744851258581236,0.11744851258581236,0,56,555,True,False
medium,300522,0.42396417445482865,0.42396417445482865,0,61,603,True,False
hard,300523,0.22934782608695653,0.22934782608695653,0,73,721,True,False
medium,300524,0.4337227414330218,0.4337227414330218,0,71,703,True,False
hard,300525,0.33157894736842103,0.33157894736842103,0,69,684,True,False
medium,300526,0.35911214953271026,0.35911214953271026,0,76,755,True,False
hard,300527,0.24240846681922193,0.24240846681922193,0,58,576,True,False
medium,300528,1.0,4.0,3,81,805,True,False
hard,300529,0.14948512585812357,0.14948512585812357,0,63,621,True,False
medium,300530,0.7334890965732087,2.7334890965732086,2,64,637,True,False
hard,300531,0.3566361556064073,0.3566361556064073,0,58,571,True,False
medium,300532,0.3137071651090343,0.3137071651090343,0,64,635,True,False
hard,300533,0.17356979405034326,0.17356979405034326,0,60,596,True,False
medium,300534,0.21456386292834892,0.21456386292834892,0,68,676,True,False
hard,300535,0.15308924485125858,0.15308924485125858,0,59,587,True,False
medium,300536,0.513785046728972,2.513785046728972,2,80,800,True,False
hard,300537,0.19559496567505721,0.19559496567505721,0,60,597,True,False
medium,300538,0.2355919003115265,0.2355919003115265,0,58,576,True,False
hard,300539,0.18220823798627003,0.18220823798627003,0,66,655,True,False
medium,300540,0.3967289719626168,0.3967289719626168,0,77,770,True,False
hard,300541,0.2665903890160183,0.2665903890160183,0,83,828,True,False
medium,300542,0.7320093457943925,2.7320093457943924,2,90,891,True,False
hard,300543,0.3227116704805492,0.3227116704805492,0,61,601,True,False
medium,300544,0.5450934579439253,1.5450934579439253,1,67,669,True,False
hard,300545,0.26727688787185355,0.26727688787185355,0,61,605,True,False
medium,300546,0.6225856697819314,1.6225856697819314,1,86,852,True,False
hard,300547,0.2128146453089245,0.2128146453089245,0,63,629,True,False
medium,300548,0.8727414330218068,2.872741433021807,2,90,900,False,True
hard,300549,0.209324942791762,0.209324942791762,0,76,755,True,False
medium,300550,0.48886292834890965,0.48886292834890965,0,90,900,False,True
hard,300551,0.1282608695652174,0.1282608695652174,0,64,633,True,False
medium,300552,0.3503894080996885,0.3503894080996885,0,62,616,True,False
hard,300553,0.20560640732265445,0.20560640732265445,0,80,793,True,False
medium,300554,0.6540498442367602,1.6540498442367602,1,76,759,True,False
hard,300555,0.2297482837528604,0.2297482837528604,0,65,645,True,False
medium,300556,0.3409657320872274,0.3409657320872274,0,89,888,True,False
hard,300557,0.3786613272311213,0.3786613272311213,0,61,605,True,False
medium,300558,0.7242211838006231,2.724221183800623,2,71,704,True,False
hard,300559,0.12465675057208238,0.12465675057208238,0,58,571,True,False
medium,300560,0.6860591900311527,2.686059190031153,2,90,900,False,True
hard,300561,0.31819221967963385,0.31819221967963385,0,71,706,True,False
medium,300562,0.6647196261682243,1.6647196261682242,1,83,823,True,False
hard,300563,0.1715675057208238,0.1715675057208238,0,60,592,True,False
medium,300564,0.6466510903426791,2.646651090342679,2,80,800,True,False
hard,300565,0.12665903890160182,0.12665903890160182,0,63,626,True,False
medium,300566,0.5852803738317757,2.585280373831776,2,70,694,True,False
hard,300567,0.17391304347826086,0.17391304347826086,0,63,621,True,False
medium,300568,0.7700155763239875,2.7700155763239875,2,62,614,True,False
hard,300569,0.1651029748283753,0.1651029748283753,0,75,746,True,False
medium,300570,0.7249221183800623,2.7249221183800625,2,65,649,True,False
hard,300571,0.17276887871853547,0.17276887871853547,0,60,593,True,False
medium,300572,0.42679127725856697,0.42679127725856697,0,82,815,True,False
hard,300573,0.07780320366132723,0.07780320366132723,0,57,561,True,False
medium,300574,0.7554517133956387,2.7554517133956384,2,90,900,False,True
hard,300575,0.22803203661327232,0.22803203661327232,0,68,671,True,False
medium,300576,0.7838006230529595,2.7838006230529597,2,90,900,False,True
hard,300577,0.2709954233409611,0.2709954233409611,0,66,659,True,False
medium,300578,0.6579439252336449,1.6579439252336448,1,90,900,False,True
hard,300579,0.17397025171624714,0.17397025171624714,0,60,598,True,False
medium,300580,0.2921183800623052,0.2921183800623052,0,67,662,True,False
hard,300581,0.08581235697940504,0.08581235697940504,0,62,617,True,False
medium,300582,0.8858255451713396,2.8858255451713397,2,68,672,True,False
hard,300583,0.15749427917620137,0.15749427917620137,0,59,584,True,False
medium,300584,0.7977414330218069,1.797741433021807,1,90,900,False,True
hard,300585,0.21252860411899313,0.21252860411899313,0,59,587,True,False
medium,300586,0.7040498442367601,2.70404984423676,2,68,672,True,False
hard,300587,0.2789473684210526,0.2789473684210526,0,59,590,True,False
medium,300588,0.3710280373831776,0.3710280373831776,0,76,757,True,False
hard,300589,0.21721967963386726,0.21721967963386726,0,58,580,True,False
medium,300590,0.23574766355140186,0.23574766355140186,0,60,599,True,False
hard,300591,0.20909610983981694,0.20909610983981694,0,58,577,True,False
medium,300592,0.9604361370716511,2.960436137071651,2,79,788,True,False
hard,300593,0.21121281464530892,0.21121281464530892,0,61,604,True,False
medium,300594,0.21474299065420568,0.21474299065420568,0,58,571,True,False
hard,300595,0.19679633867276888,0.19679633867276888,0,75,747,True,False
medium,300596,0.3573208722741433,0.3573208722741433,0,66,657,True,False
hard,300597,0.1598970251716247,0.1598970251716247,0,57,570,True,False
medium,300598,0.4397196261682243,0.4397196261682243,0,58,577,True,False
hard,300599,0.29216247139588103,0.29216247139588103,0,60,591,True,False
medium,300600,0.34369158878504674,0.34369158878504674,0,64,637,True,False
hard,300601,0.24364988558352402,0.24364988558352402,0,60,599,True,False
medium,300602,0.6007009345794393,1.6007009345794394,1,90,900,False,True
hard,300603,0.2416475972540046,0.2416475972540046,0,60,596,True,False
medium,300604,0.4462616822429907,0.4462616822429907,0,61,604,True,False
hard,300605,0.17105263157894737,0.17105263157894737,0,58,576,True,False
medium,300606,0.5025700934579439,1.502570093457944,1,90,900,False,True
hard,300607,0.19353546910755148,0.19353546910755148,0,65,644,True,False
medium,300608,0.32141744548286605,1.321417445482866,1,61,602,True,False
hard,300609,0.11905034324942791,0.11905034324942791,0,61,608,True,False
medium,300610,0.3797507788161994,0.3797507788161994,0,80,798,True,False
hard,300611,0.23575514874141876,0.23575514874141876,0,70,697,True,False
medium,300612,0.6661993769470405,1.6661993769470405,1,90,900,False,True
hard,300613,0.19439359267734554,0.19439359267734554,0,74,731,True,False
medium,300614,0.4735981308411215,0.4735981308411215,0,70,696,True,False
hard,300615,0.15903890160183065,0.15903890160183065,0,65,645,True,False
medium,300616,0.5236760124610592,1.5236760124610593,1,62,611,True,False
